,name of item,price (RM),number of downloads,item URL
0,"Wavy Border Menu and Namecard template, Canva Editable Birthday Menu, Printable Valentine Menu Template, Editable Name Card template",28.22,6.0,https://www.etsy.com/listing/1659445910/wavy-border-menu-and-namecard-template?click_key=ab86693c15d422ee85c327d6332f1b6cf2767cc6%3A1659445910&click_sum=9c6aa6e5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004833-1-1&pro=1&dd=1
1,"5 Printable Watercolor Birthday Cards, Instant Digital Download, Greeting Cards",21.09,19.0,https://www.etsy.com/listing/1561109851/5-printable-watercolor-birthday-cards?click_key=279eeb4a6cf58c9c7fbe359fc8b5034b72e8ec68%3A1561109851&click_sum=cddbfb32&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004833-1-2&dd=1
2,"18th Birthday Gift for Girls and Boys, 18th Birthday Newspaper Poster, Personalized Party Poster, Back In 2006, 18th Birthday Poster",80.33,1300.0,https://www.etsy.com/listing/1254954985/18th-birthday-gift-for-girls-and-boys?click_key=e43715d4ff7e7df9423d73add26a0c2812c9d60a%3A1254954985&click_sum=0e58bb40&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004833-1-3&pro=1&sts=1&dd=1
3,Birthday Boarding Pass Gift Ticket - Birthday Boarding Pass Plane Gift Flight Ticket - Printable Birthday Gift Template - Instant Download,23.73,382.0,https://www.etsy.com/listing/1378932989/birthday-boarding-pass-gift-ticket?click_key=f2903bd8dc7cf4184710d2e61305741594415b92%3A1378932989&click_sum=d298ce9b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004833-1-4&dd=1
4,"Greeting Card Drag & Drop Canva Template Bundle 5x7 4x6 and 4.75x4.75, Canva Template, Printable Card Template, Commercial Use Card Template",17.20,1100.0,https://www.etsy.com/listing/1482391656/greeting-card-drag-drop-canva-template?click_key=3b82786ee8aff061fc8a7a0557be2969edb89dca%3A1482391656&click_sum=4d0aeab3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004834-1-1&bes=1&sts=1&dd=1
5,"Printable Birthday Card, Instant Download, Digital Greeting Card, Happy Birthday Card, Print at Home",7.88,61.0,https://www.etsy.com/listing/1576977768/printable-birthday-card-instant-download?click_key=ddb764abc72416e698f5623962ac5e5d8267361a%3A1576977768&click_sum=220acc52&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004834-1-2&pro=1&bes=1&sts=1&dd=1
6,"Drag and Drop Greeting Card Templates, Editable Canva Templates, Blank Templates, 4x6, 5x7, 4.75x4.75 Foldable Cards - Instant Download",17.11,711.0,https://www.etsy.com/listing/1438646848/drag-and-drop-greeting-card-templates?click_key=604bc952a5116a3acb968e14b2fabeb0e4a0bd17%3A1438646848&click_sum=b8e4cef4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004834-1-3&pro=1&bes=1&sts=1&dd=1
7,"Printable Birthday Card, Instant Download, Digital Greeting Card, Happy Birthday Card, Print at Home",7.88,61.0,https://www.etsy.com/listing/1555650429/printable-birthday-card-instant-download?click_key=9eb3f64ac94fc39aea9e8e3a0d178b12cadb91ff%3A1555650429&click_sum=a8a33e8e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004834-1-4&pro=1&sts=1&dd=1
8,"Printable Birthday Card, Birthday Card Downloadable, Birthday Card, We Heard There Was Cake, Two Sizes",5.04,1300.0,https://www.etsy.com/listing/862305079/printable-birthday-card-birthday-card?click_key=821670c10a0486c7870f6e96732f32988d0be7ee%3A862305079&click_sum=3c499b9a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004834-1-5&bes=1&dd=1
9,"Greeting Card Drag & Drop Canva Templates Bundle, 4.75”x4.75”, 5”x7”, 4”x6”, Greeting Card, Printable, Blank Templates, Editable Canva Card",10.57,414.0,https://www.etsy.com/listing/1568701856/greeting-card-drag-drop-canva-templates?click_key=6a18835d4d8f5e78341cfea4683abdd144041c9c%3A1568701856&click_sum=d49f2c00&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004834-1-6&pro=1&bes=1&dd=1
