,name of item,price (RM),number of downloads,item URL
0,Undated Digital Mushroom Planner | iPad Planner for iPad Goodnotes notability | Daily planner Monthly Planner Yearly | Hand drawn art gift,19.79,22.0,https://www.etsy.com/listing/1531620519/undated-digital-mushroom-planner-ipad?click_key=8257e7b14d21321d485138976bf97eb9c64a71a8%3A1531620519&click_sum=0201b272&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509586-1-1&pro=1&sts=1&dd=1
1,"PLR Mental Health journals planners trackers bundle, 20 Canva templates with 800+ pages Done-for-you, PLR + MRR included, commercial use",43.73,93.0,https://www.etsy.com/listing/1617578680/plr-mental-health-journals-planners?click_key=2a673d3dc24229d619d731821e3adeefade27a8c%3A1617578680&click_sum=be06fad6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509586-1-2&pro=1&sts=1&dd=1
2,"Digital Planner Lifetime Bundle ~ Plan all areas of life ~ Beginner Friendly ~ Plan ALL areas of life ~ Goodnotes, Noteshelf, Notability +",105.18,1300.0,https://www.etsy.com/listing/1036858777/digital-planner-lifetime-bundle-plan-all?click_key=6d881ce0ae547e347a3539a0a46e39e9c4ee752e%3A1036858777&click_sum=282e89a1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509586-1-3&pro=1&bes=1&sts=1&dd=1
3,"Digital Planner, Goodnotes Planner, iPad Planner, Notability Planner, Dated Digital Planner, 2023 2024 2025 Undated Planner",68.23,10500.0,https://www.etsy.com/listing/1123882489/digital-planner-goodnotes-planner-ipad?click_key=28cc851988d7e5c52dbcc896cdf3dcfb0ce5a458%3A1123882489&click_sum=6374f5e6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509586-1-4&pro=1&bes=1&sts=1&dd=1
4,2024 Digital Planner | DATED Goodnotes Digital Planner 2024 | Digital Journal | Daily Planner | iPad Planner | Daily Notability Planner,5.23,1100.0,https://www.etsy.com/listing/1632709290/2024-digital-planner-dated-goodnotes?click_key=9ad183c15953027c0f9ac05202af71d1ab5b0523%3A1632709290&click_sum=435d2247&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509587-1-1&pro=1&bes=1&dd=1
5,"Digital Planner - GoodNotes, iPad, Notability | Daily, Weekly, Monthly | 2024-2025 | Undated | Digital Planner 2024 2025 Undated iPad",5.23,1300.0,https://www.etsy.com/listing/1606634310/digital-planner-goodnotes-ipad?click_key=e54c9bef13f208766c5dd23adf389544fcbdccaf%3A1606634310&click_sum=2eb2de75&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509587-1-2&pro=1&pop=1&dd=1
6,"Digital Planner | GoodNotes, iPad, Notability | Daily, Weekly, Monthly | 2024-2025 + Undated | Digital Planner 2024 2025 & Undated, iPad2024",5.23,150.0,https://www.etsy.com/listing/1620959115/digital-planner-goodnotes-ipad?click_key=871bd1e04a348118909e4ccb97aaf11ab1ed9ea3%3A1620959115&click_sum=447f7091&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509587-1-3&pro=1&bes=1&dd=1
7,"Digital Planner 2024 | GoodNotes Planner, Daily Planner, Weekly Planner, DATED iPad Planner, Google/Apple Calendar Links, Notability Planner",5.23,1100.0,https://www.etsy.com/listing/1646540634/digital-planner-2024-goodnotes-planner?click_key=0cbd351f41cb40ded1f0358af778eecb33d2d22a%3A1646540634&click_sum=07e80598&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509587-1-4&pro=1&bes=1&dd=1
8,"That Girl Planner, Undated Digital Planner, iPad Planner, GoodNotes Planner, Daily, Weekly, Monthly, 2023 2024 Undated Digital iPad Planner",4.58,2600.0,https://www.etsy.com/listing/1516219209/that-girl-planner-undated-digital?click_key=4264847503f3045fcdd04639ea2adcded58cd3f9%3A1516219209&click_sum=c018a525&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509587-1-5&pro=1&bes=1&sts=1&dd=1
9,"THAT GIRL Undated Digital Planner | Daily, Weekly, Monthly Goodnotes iPad Planner, Self Care Planner, ADHD Friendly Planner, Meal Planner",14.81,2900.0,https://www.etsy.com/listing/1477769781/that-girl-undated-digital-planner-daily?click_key=cafe793fc7e2dbcf608e06e568bf5b7da2772b9f%3A1477769781&click_sum=74a3f39c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509587-1-6&pro=1&bes=1&sts=1&dd=1
10,"Digital Planner 2024 2025 2026 Undated Digital Planners | Goodnotes Planner Xodo Notability Noteshelf ,iPad Planner Android Planner 4 Themes",5.18,2600.0,https://www.etsy.com/listing/1519686558/digital-planner-2024-2025-2026-undated?click_key=15c49572ac17edd8f28a52469ce531838e12ce89%3A1519686558&click_sum=eb254e1d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509587-1-7&pro=1&bes=1&dd=1
11,"2024 Digital Planner, 2024 Portrait Planner, 2024 Planner, 2024 Dated Planner, Hyperlinked Digital Life Planner, GoodNotes That Girl Planner",20.31,410.0,https://www.etsy.com/listing/1648173416/2024-digital-planner-2024-portrait?click_key=424eeec6405e2193b6a39890803458a0b02d9031%3A1648173416&click_sum=4785e9b2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-509587-1-8&pro=1&bes=1&dd=1
12,"2024 Digital Life Planner for GoodNotes, Notability, CollaNote, etc. - iPad Planning, Portrait, Everyday Stickers, Minimalist Planner",106.79,1500.0,https://www.etsy.com/listing/1616438001/2024-digital-life-planner-for-goodnotes?click_key=069fedbfd2824fba6732355aafa558ab814ffe1a%3A1616438001&click_sum=8e2215c5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-5&bes=1&sts=1&dd=1
13,"ADHD Digital Planner (made by an ADHDer) for iPad, Goodnotes + Android. Adult ADHD daily planner, self care & habit tracker. Science based",70.49,5400.0,https://www.etsy.com/listing/1620086836/adhd-digital-planner-made-by-an-adhder?click_key=be096ad57afadb5332e8d8bbbf1a5374cd33b9ba%3A1620086836&click_sum=61ba525e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-6&pro=1&bes=1&sts=1&dd=1
